date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
1979-01-01 00:00:00,2,7,52,2.3,-4.1,-7.5,0.4,101900,9
1979-01-02 00:00:00,6,1.7,27,1.6,-2.6,-7.5,0,102530,8
1979-01-03 00:00:00,5,0,13,1.3,-2.8,-7.2,0,102050,4
1979-01-04 00:00:00,8,0,13,-0.3,-2.6,-6.5,0,100840,2
1979-01-05 00:00:00,6,2,29,5.6,-0.8,-1.4,0,102250,1
1979-01-06 00:00:00,5,3.8,39,8.3,-0.5,-6.6,0.7,102780,1
1979-01-07 00:00:00,8,0,13,8.5,1.5,-5.3,5.2,102520,0
1979-01-08 00:00:00,8,0.1,15,5.8,6.9,5.3,0.8,101870,0
1979-01-09 00:00:00,4,5.8,50,5.2,3.7,1.6,7.2,101170,0
1979-01-10 00:00:00,7,1.9,30,4.9,3.3,1.4,2.1,98700,0
1979-01-11 00:00:00,1,6.8,55,2.9,2.6,0.3,2.3,98960,0
1979-01-12 00:00:00,3,6.4,54,2,0.4,-2,0,100650,1
1979-01-13 00:00:00,1,7,57,4.3,-2.6,-7.1,0,102350,1
1979-01-14 00:00:00,7,0,14,6.7,-0.6,-5.6,0.8,102700,1
1979-01-15 00:00:00,,0,15,5.9,3.8,1,0.1,102990,0
1979-01-16 00:00:00,8,0,15,2.6,5,4.1,3.9,103100,0
1979-01-17 00:00:00,8,0,15,1.9,2.1,1.6,2.5,102220,0
1979-01-18 00:00:00,8,0,15,3,0.8,-0.2,0.2,101860,0
1979-01-19 00:00:00,8,0,16,7.2,0.8,-1.4,5.2,100910,0
1979-01-20 00:00:00,7,0,16,3.5,3.1,-1,0,100920,0
1979-01-21 00:00:00,,0,16,1.5,0,-3.5,0.1,102170,0
1979-01-22 00:00:00,8,0,16,0.3,-0.2,-1.8,6.2,101680,0
1979-01-23 00:00:00,7,0,17,2.9,-1,-2.3,1,100970,6
1979-01-24 00:00:00,3,4.8,54,5.6,-1.4,-5.6,1.4,101010,6
1979-01-25 00:00:00,8,0,17,2.8,0.6,-4.5,5.3,99660,1
1979-01-26 00:00:00,5,2.6,42,1.6,0.8,-1.1,0.1,99280,1
1979-01-27 00:00:00,4,2.1,39,4.5,-1.8,-5.2,0,99770,0
1979-01-28 00:00:00,7,3.1,47,4.8,0,-4.4,7.5,99470,0
1979-01-29 00:00:00,4,1,31,4,1.9,-1,4.4,98920,0
1979-01-30 00:00:00,5,0.8,30,7.3,0.7,-2.6,0.1,100070,0
1979-01-31 00:00:00,5,1.6,38,9.1,2.1,-3.1,2.4,101390,0
1979-02-01 00:00:00,8,0,19,4,5.2,1.2,10.1,99490,0
1979-02-02 00:00:00,5,1.4,37,5.9,2.8,1.5,0,99890,0
1979-02-03 00:00:00,1,8.7,85,4.5,0.9,-4.1,0,100770,0
1979-02-04 00:00:00,8,0.1,23,6,1.6,-1.2,0,100060,0
1979-02-05 00:00:00,6,0.8,33,4,3.7,1.4,0,100250,0
1979-02-06 00:00:00,4,6.8,78,6.8,1.2,-1.6,9,101020,0
1979-02-07 00:00:00,,0,21,3.7,3.3,-0.2,0.4,99450,0
1979-02-08 00:00:00,6,1.9,45,4,2,0.3,0,100740,0
1979-02-09 00:00:00,8,0,22,3.5,2.4,0.8,0,100310,0
1979-02-10 00:00:00,8,0,23,2.9,2.8,2.1,0,99730,0
1979-02-11 00:00:00,8,0,23,5.4,2.4,1.9,4.4,99170,0
1979-02-12 00:00:00,8,0.1,27,8.1,2.8,0.3,6.7,98430,1
1979-02-13 00:00:00,8,0,24,0.2,4.2,0.3,9.1,98130,0
1979-02-14 00:00:00,6,2.4,54,-0.8,-0.2,-0.7,0,99380,1
1979-02-15 00:00:00,7,0,25,0.6,-2.2,-3.7,0.1,100830,0
1979-02-16 00:00:00,8,0,25,-0.8,-1.2,-3.1,0,102270,1
1979-02-17 00:00:00,8,0,26,0.7,-1.2,-1.5,0,102180,0
1979-02-18 00:00:00,8,0,26,1.9,-0.6,-1.8,0,101970,0
1979-02-19 00:00:00,8,0,27,2.8,0.5,-0.9,0.1,102530,0
1979-02-20 00:00:00,,0,27,3.6,1.6,0.3,0,103010,0
1979-02-21 00:00:00,8,0,28,7.4,2.1,0.6,0.6,102640,0
1979-02-22 00:00:00,5,2.6,63,8.7,4.3,1.2,1.8,102790,0
1979-02-23 00:00:00,4,7.4,104,5.5,4.4,0.2,0,103430,0
1979-02-24 00:00:00,4,1.9,58,6.9,2.9,0.3,0,104130,0
1979-02-25 00:00:00,3,8.1,112,6.7,1.8,-3.4,0,104270,0
1979-02-26 00:00:00,,4.2,82,8.9,1.6,-3.4,0,103590,0
1979-02-27 00:00:00,6,4.4,85,6.1,3.7,-1.5,0.8,102090,0
1979-02-28 00:00:00,6,2.1,64,9.7,4.4,2.7,0.9,100040,0
1979-03-01 00:00:00,4,6.4,115,11.9,3.5,-2.7,0.2,101100,0
1979-03-02 00:00:00,8,0,35,12.6,6.8,1.6,0,101640,0
1979-03-03 00:00:00,8,0.1,40,10.5,11,9.4,5.3,101850,0
1979-03-04 00:00:00,4,8.7,140,11,7.4,4.3,0,102410,0
1979-03-05 00:00:00,4,6.4,121,9,5.4,-0.1,0,102730,0
1979-03-06 00:00:00,6,3.7,95,9.4,6.3,3.6,2.8,100950,0
1979-03-07 00:00:00,2,7.4,133,10.5,5.6,1.9,0,100800,0
1979-03-08 00:00:00,4,5.1,113,11,5.6,0.7,8,101590,0
1979-03-09 00:00:00,6,1.6,72,11.5,7.8,4.5,3.1,99940,0
1979-03-10 00:00:00,7,0,40,13.8,5.8,0,3.8,100740,0
1979-03-11 00:00:00,7,0.2,48,10.7,8.2,2.7,0,100110,0
1979-03-12 00:00:00,5,4.8,115,4.9,7.2,3.7,1.1,100880,0
1979-03-13 00:00:00,8,0,42,3.8,4.6,4.4,20.3,100800,0
1979-03-14 00:00:00,8,0,43,2.5,2.8,1.8,0.5,100580,0
1979-03-15 00:00:00,8,0,43,1.3,1.8,1.2,3.1,100020,0
1979-03-16 00:00:00,8,0,44,6.9,0.7,0.1,11.8,99160,0
1979-03-17 00:00:00,5,4.3,116,9.1,3.5,0.1,0.3,99460,1
1979-03-18 00:00:00,6,4.4,119,6.1,5.1,1.1,0.7,99970,0
1979-03-19 00:00:00,7,0.2,54,11,4.2,2.4,1,100230,0
1979-03-20 00:00:00,6,4,116,8.5,7,3,2.4,99550,0
1979-03-21 00:00:00,4,6.7,149,9.6,5.7,2.9,3.3,99490,0
1979-03-22 00:00:00,4,6,143,9.2,5,0.5,0.1,100520,0
1979-03-23 00:00:00,1,10.7,194,11.5,3.1,-3,0,101660,0
1979-03-24 00:00:00,5,7,158,15.3,5,-1.6,9.1,101330,0
1979-03-25 00:00:00,7,0.7,70,8,10.2,5,0.2,99040,0
1979-03-26 00:00:00,7,1.4,85,11.3,6.2,4.3,5.4,98870,0
1979-03-27 00:00:00,6,5.8,148,8.1,7.2,3,4.2,98270,0
1979-03-28 00:00:00,7,3.1,114,7.6,4.8,1.4,4.1,98400,0
1979-03-29 00:00:00,8,0.7,74,7.6,4.8,1.9,3.3,99540,0
